            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2462137.500000000, A.D. 2029-Jan-01 00:00:00.0000,  8.858066041363934E+08,  2.519986565834875E+09,  1.091155196558899E+09, -6.531146445381547E+00,  1.590421030825456E+00,  7.891289998529868E-01,
2462502.500000000, A.D. 2030-Jan-01 00:00:00.0000,  6.775854580232611E+08,  2.563145111638080E+09,  1.113001705176193E+09, -6.668205141528939E+00,  1.144551113545124E+00,  5.955492037690983E-01,
2462867.500000000, A.D. 2031-Jan-01 00:00:00.0000,  4.656040483568301E+08,  2.592057893941957E+09,  1.128661848421167E+09, -6.769484220573765E+00,  6.874534234046943E-01,  3.966358428649432E-01,
2463232.500000000, A.D. 2032-Jan-01 00:00:00.0000,  2.510111864576055E+08,  2.606408863187849E+09,  1.137980916081910E+09, -6.833713006347379E+00,  2.215139833500962E-01,  1.934594140207403E-01,
2463598.500000000, A.D. 2033-Jan-01 00:00:00.0000,  3.440212942157784E+07,  2.605938334655303E+09,  1.140836768909960E+09, -6.859882770614969E+00, -2.519722539939411E-01, -1.344087285338494E-02,
2463963.500000000, A.D. 2034-Jan-01 00:00:00.0000, -1.818147386429802E+08,  2.590494043192861E+09,  1.137128797067366E+09, -6.846386591741558E+00, -7.277560238454368E-01, -2.219116606921711E-01,
2464328.500000000, A.D. 2035-Jan-01 00:00:00.0000, -3.969797212179676E+08,  2.560028312551386E+09,  1.126826898869465E+09, -6.792882633285954E+00, -1.204227891939258E+00, -4.312656543369310E-01,
2464693.500000000, A.D. 2036-Jan-01 00:00:00.0000, -6.098211462866213E+08,  2.514564768665155E+09,  1.109923539492071E+09, -6.698815926409747E+00, -1.678463992844545E+00, -6.403302199148404E-01,
2465059.500000000, A.D. 2037-Jan-01 00:00:00.0000, -8.196211158923603E+08,  2.454033714285691E+09,  1.086378082408508E+09, -6.563328203370181E+00, -2.148803828339535E+00, -8.484361669374537E-01,
2465424.500000000, A.D. 2038-Jan-01 00:00:00.0000, -1.023942267858076E+09,  2.378977059931012E+09,  1.056393415710153E+09, -6.387662421663949E+00, -2.609593447960796E+00, -1.052833549821658E+00,
2465789.500000000, A.D. 2039-Jan-01 00:00:00.0000, -1.222083932130814E+09,  2.289559653857248E+09,  1.020031875357227E+09, -6.171677490837614E+00, -3.058920610336321E+00, -1.252795213400770E+00,
2466154.500000000, A.D. 2040-Jan-01 00:00:00.0000, -1.412784492427866E+09,  2.186194837886995E+09,  9.774566992394397E+08, -5.915974150592972E+00, -3.493530816831297E+00, -1.446796658380479E+00,
2466520.500000000, A.D. 2041-Jan-01 00:00:00.0000, -1.595293729604481E+09,  2.069060647761021E+09,  9.287352406284263E+08, -5.620878444946630E+00, -3.911363784256568E+00, -1.633655534845214E+00,
2466885.500000000, A.D. 2042-Jan-01 00:00:00.0000, -1.767411910430420E+09,  1.939413833945392E+09,  8.743868337943369E+08, -5.288923487557397E+00, -4.306960558586458E+00, -1.811560768605112E+00,
2467250.500000000, A.D. 2043-Jan-01 00:00:00.0000, -1.928498845710303E+09,  1.797664493091161E+09,  8.145819754093291E+08, -4.921273822238447E+00, -4.678499748738290E+00, -1.979397783120407E+00,
2467615.500000000, A.D. 2044-Jan-01 00:00:00.0000, -2.077463469027260E+09,  1.644618489572986E+09,  7.496581550194966E+08, -4.520153969710641E+00, -5.023032161075164E+00, -2.135846175427369E+00,
2467981.500000000, A.D. 2045-Jan-01 00:00:00.0000, -2.213639636557435E+09,  1.480710595214121E+09,  6.797963646213142E+08, -4.086911241616371E+00, -5.338443148346020E+00, -2.280471451015293E+00,
2468346.500000000, A.D. 2046-Jan-01 00:00:00.0000, -2.335344714053242E+09,  1.307819829894926E+09,  6.057957786798509E+08, -3.626545345776191E+00, -5.620653862222948E+00, -2.410535085165114E+00,
2468711.500000000, A.D. 2047-Jan-01 00:00:00.0000, -2.442125806362304E+09,  1.126571834569513E+09,  5.279240265596604E+08, -3.141147632774570E+00, -5.868088547436975E+00, -2.525648525674753E+00,
2469076.500000000, A.D. 2048-Jan-01 00:00:00.0000, -2.533241412129251E+09,  9.380968288811156E+08,  4.466656466899818E+08, -2.634016527507357E+00, -6.078636655151087E+00, -2.624939384335854E+00,
2469442.500000000, A.D. 2049-Jan-01 00:00:00.0000, -2.608241496822489E+09,  7.430462959738064E+08,  3.622996393528283E+08, -2.106833428735488E+00, -6.251049893411375E+00, -2.707692782787670E+00,
2469807.500000000, A.D. 2050-Jan-01 00:00:00.0000, -2.666198297994492E+09,  5.437314380578092E+08,  2.758250858344813E+08, -1.566732469720741E+00, -6.382796468095894E+00, -2.772903224888620E+00,
2470172.500000000, A.D. 2051-Jan-01 00:00:00.0000, -2.706942676283229E+09,  3.409088415334056E+08,  1.875709744150548E+08, -1.015966272577455E+00, -6.473367766899435E+00, -2.820423007689300E+00,
2470537.500000000, A.D. 2052-Jan-01 00:00:00.0000, -2.730202470903560E+09,  1.358867590153463E+08,  9.810647741520575E+07, -4.585198482818453E-01, -6.522155598192453E+00, -2.849871572294536E+00,
2470903.500000000, A.D. 2053-Jan-01 00:00:00.0000, -2.735826944938137E+09, -7.057682757366610E+07,  7.761496463355098E+06,  1.027635821211939E-01, -6.528884515798929E+00, -2.860864700130318E+00,
2471268.500000000, A.D. 2054-Jan-01 00:00:00.0000, -2.723777634701716E+09, -2.760250882774474E+08, -8.238848573490261E+07,  6.605296637864025E-01, -6.493501605529369E+00, -2.853460214938961E+00,
